Reference,Value,Manufacturer,MPN,LCSC,Footprint,X_mm,Y_mm,Rotation_deg,Side
CF16,22p C0G,FH,0402CG220J500NT,C1555,C:0402,153.862,58.025,0,front
R8,22,UNI-ROYAL,0402WGF220JTCE,C25092,R:0402,116.9,61.75,90,front
C12,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,104.412,72,90,front
C30,330p C0G,Murata,GRM1555C1H331JA01D,C76965,C:0402,107.3,69,0,front
C49,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,97.7,68.4,-90,front
RF6,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,62.388,63.025,90,front
RF11,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,145.362,63.875,0,front
CF2,22p C0G,FH,0402CG220J500NT,C1555,C:0402,72.888,62.875,90,front
C45,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,109.2,69.25,0,front
U18,TPS2553DRVR,Texas Instruments,TPS2553DRVR,C138719,IC:TPS2553_DRV0006,158.5,62.1,0,front
C47,1u,CCTC,TCC0402X7R105K160AT,C49210445,C:0402,101.7,66.25,0,front
RF15,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,158.112,64.25,0,front
