Reference,Value,Manufacturer,MPN,LCSC,Footprint,X_mm,Y_mm,Rotation_deg,Side
U12,SN74LVC1G123DCTR,Texas Instruments,SN74LVC1G123DCTR,C123302,IR_Glasses:SSOP-8_2.95x2.8mm_P0.65mm,52.4,66.2,90.0,front
U13,SN74LVC1G04DBVR,Texas Instruments,SN74LVC1G04DBVR,C7827,IR_Glasses:SOT-23-5,128.199999,66.8,0.0,front
U14,TPS259470LRPWR,Texas Instruments,TPS259470LRPWR,C3662793,IR_Glasses:TI_RPW0010A,158.5,62.1,0.0,front
D18,"PESD3V3U1UB,115",Nexperia,"PESD3V3U1UB,115",C2443469,IR_Glasses:D_SOD-523,163.3,64.65,180.0,front
D19,"PESD3V3U1UB,115",Nexperia,"PESD3V3U1UB,115",C2443469,IR_Glasses:D_SOD-523,53.66,57.965,0.0,front
D20,GREEN / STATUS,Lite-On,LTST-C190KGKT,C125094,IR_Glasses:LED_0603_1608Metric,59.0,57.9,0.0,front
R14,100,UNI-ROYAL,0402WGF1000TCE,C25076,IR_Glasses:R_0402_1005Metric,102.8,68.0,180.0,front
R15,100k,UNI-ROYAL,0402WGF1003TCE,C25741,IR_Glasses:R_0402_1005Metric,50.2,68.0,90.0,front
R16,10k,UNI-ROYAL,0402WGF1002TCE,C25744,IR_Glasses:R_0402_1005Metric,49.2,68.4,90.0,front
R17,4.7k,UNI-ROYAL,0402WGF4701TCE,C25900,IR_Glasses:R_0402_1005Metric,61.0,58.1,90.0,front
R18,19.1k 0.1%,Yageo,RT0402BRD0719K1L,C852587,IR_Glasses:R_0402_1005Metric,154.1,65.7,0.0,front
R19,10k 0.1%,Yageo,RT0402BRD0710KL,C190095,IR_Glasses:R_0402_1005Metric,161.1,64.5,0.0,front
R20,6.2k,UNI-ROYAL,0402WGF6201TCE,C25915,IR_Glasses:R_0402_1005Metric,165.5,64.5,0.0,front
C32,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,104.2375,66.23,-90.0,front
C33,1n,FH,0402CG102J500NT,C53547,IR_Glasses:C_0402_1005Metric,54.6,67.8,90.0,front
C34,1n,FH,0402CG102J500NT,C53547,IR_Glasses:C_0402_1005Metric,56.3,65.099999,0.0,front
C35,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,55.0,63.8,0.0,front
C36,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,IR_Glasses:C_0402_1005Metric,130.8,65.8,90.0,front
C37,1u,CCTC,TCC0402X7R105K160AT,C49210445,IR_Glasses:C_0402_1005Metric,159.6,64.5,90.0,front
C38,1n,FH,0402CG102J500NT,C53547,IR_Glasses:C_0402_1005Metric,164.6,67.3,90.0,front
