Ref,Val,Package,PosX,PosY,Rot,Side
"RF7","100k","R_0402_1005Metric",69.862000,-64.775000,0.000000,top
"RF8","100k","R_0402_1005Metric",69.862000,-58.025000,0.000000,top
"RF9","100k","R_0402_1005Metric",137.888000,-58.875000,90.000000,top
"RF10","100k","R_0402_1005Metric",137.888000,-62.875000,90.000000,top
"RF11","100k","R_0402_1005Metric",145.362000,-63.875000,0.000000,top
"RF12","100k","R_0402_1005Metric",147.112000,-58.875000,90.000000,top
"RF13","100k","R_0402_1005Metric",150.138000,-58.025000,0.000000,top
"RF14","100k","R_0402_1005Metric",148.388000,-63.025000,90.000000,top
"RF15","100k","R_0402_1005Metric",158.112000,-64.025000,0.000000,top
"RF16","100k","R_0402_1005Metric",155.862000,-58.025000,0.000000,top
"U1","TLC59283RGER","Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm",121.000000,-62.000000,0.000000,top
"U2","TLV9064IPWR","TSSOP-14_4.4x5mm_P0.65mm",77.500000,-60.500000,0.000000,top
"U3","TLV9064IPWR","TSSOP-14_4.4x5mm_P0.65mm",67.000000,-61.400000,0.000000,top
"U4","TLV9064IPWR","TSSOP-14_4.4x5mm_P0.65mm",142.500000,-60.500000,0.000000,top
"U5","TLV9064IPWR","TSSOP-14_4.4x5mm_P0.65mm",153.000000,-61.400000,0.000000,top
"U6","TLV9061IDBVR","SOT-23-5",87.000000,-62.000000,0.000000,top
"U7","TMUX1308PWR","TSSOP-16_4.4x5mm_P0.65mm",95.000000,-62.000000,0.000000,top
"U8","TMUX1308PWR","TSSOP-16_4.4x5mm_P0.65mm",131.000000,-61.500000,0.000000,top
"U9","STM32C031C6T6","LQFP-48_7x7mm_P0.5mm",110.000000,-63.000000,0.000000,top
"U10","LSM6DS3TR-C","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",110.000000,-71.300000,0.000000,top
"U11","PESD3V3L2BT,215","SOT-23",167.500000,-67.000000,0.000000,top
