Reference,Value,Footprint,Quantity,Populate,X_mm,Y_mm,Rotation_deg,Side,Manufacturer,MPN,LCSC
C25,10u,IR_Glasses:C_0603_1608Metric,1,Yes,158.75,62.5,0.0,front,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702
C26,10u,IR_Glasses:C_0603_1608Metric,1,Yes,125.25,66.0,90.0,front,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702
C27,10u,IR_Glasses:C_0603_1608Metric,1,Yes,84.0,63.25,90.0,front,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702
C28,47u 16V X5R,IR_Glasses:C_1210_3225Metric,1,Yes,122.0,67.3,0.0,front,YAGEO,CC1210KKX5R7BB476,C596320
C29,1n,IR_Glasses:C_0402_1005Metric,1,Yes,103.5,69.0,0.0,front,FH,0402CG102J500NT,C53547
C30,1n,IR_Glasses:C_0402_1005Metric,1,Yes,116.0,69.0,0.0,front,FH,0402CG102J500NT,C53547
C31,100n,IR_Glasses:C_0402_1005Metric,1,Yes,90.25,65.0,90.0,front,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
TP1,3V3,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,94.0,66.05,0.0,front,,,
TP2,GND,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,100.25,58.3,0.0,front,,,
TP3,UART_TX,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,100.25,60.55,0.0,front,,,
TP4,UART_RX,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,101.0,62.8,0.0,front,,,
TP5,BOOT_TX_PA9,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,102.25,65.05,0.0,front,,,
TP6,BOOT_RX_PA10,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,116.5,63.3,0.0,front,,,
TP7,SWCLK_BOOT0,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,117.75,65.8,0.0,front,,,
TP8,NRST,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,118.25,68.05,0.0,front,,,
TP9,VREF_1V65,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,127.25,65.55,0.0,front,,,
TP10,3V3,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,129.5,65.55,0.0,front,,,
TP11,IMU_INT,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,131.75,65.55,0.0,front,,,
TP12,3V3_A,IR_Glasses:TestPoint_Pad_D1.0mm,1,PCB pads only,143.75,65.55,0.0,front,,,
