Reference,Value,Footprint,Manufacturer,MPN,LCSC,Quantity,Parameters,Catalog_URL
D10,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
D11,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
D12,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
D13,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
D14,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
D15,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
D16,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
D17,"PESD5V0S1BA,115",D:SOD-323,Nexperia,"PESD5V0S1BA,115",C19224,1,ESD DIODE 5VWM 14VC SOD-323,https://www.lcsc.com/product-detail/C19224.html
D18,"PESD3V3U1UB,115",D:SOD-523,Nexperia,"PESD3V3U1UB,115",C2443469,1,ESD DIODE 3.3VWM SC-79(SOD-523),https://www.lcsc.com/product-detail/C2443469.html
D19,"PESD3V3U1UB,115",D:SOD-523,Nexperia,"PESD3V3U1UB,115",C2443469,1,ESD DIODE 3.3VWM SC-79(SOD-523),https://www.lcsc.com/product-detail/C2443469.html
D2,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
D20,GREEN / STATUS,LED:0603,Lite-On,LTST-C190KGKT,C125094,1,LED YELLOW GREEN WATER CLEAR 0603 SMD,https://www.lcsc.com/product-detail/C125094.html
D3,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
D4,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
D5,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
D6,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
D7,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
D8,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
D9,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1,EMITTER IR 65mA SMD,https://www.lcsc.com/product-detail/C19269752.html
FB1,600R@100MHz 500mA,L:0603,Murata,BLM18AG601SN1D,C19330,1,FERRITE BEAD 600Ω 0603 1LN; ±25%; 500mA; 600Ω@100MHz,https://www.lcsc.com/product-detail/C19330.html
J1,0.5K-AS-5PWB-RW,J:GUOCONN_0.5K-AS-5PWB-RW,GUOCONN,0.5K-AS-5PWB-RW,C51901197,1,5P; pitch 0.5mm; top contact; slide lock; FPC thickness 0.3mm; height 2mm,https://www.lcsc.com/product-detail/C51901197.html
PD1,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
PD10,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
PD11,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
PD12,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
PD13,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
PD14,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
PD15,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
